idx,seed,dim,vars,rho_max,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,103,7,xc1 dx a1 a2 d1 d2 Ir,25,1.4317652042517763,0.16617249479401391,-0.01,-0.02,0.27007171068634833,0.8342821469844487,1.4298033369941268,1.1560759382302481,-0.8299113900000087,0,0,36,29,5.1426869159182294e-11,[55.99710447]
0,104,7,xc1 dx a1 a2 d1 d2 Ir,25,1.8277734351961044,0.6395029869153925,-0.01,-0.02,0.45626505678064433,0.8492778805288956,1.6612846554330498,2.427621247248543,-0.5178057649862329,0,0,42,61,7.430673744200186e-11,[55.99653444]
0,105,7,xc1 dx a1 a2 d1 d2 Ir,25,1.65838690574461,0.6398757280173157,-0.01,-0.02,0.6162336805000207,0.9768021461454206,1.6244375187760107,2.5366439159285195,-0.5370936347431674,0,0,41,63,0.00015083149204588888,[46.72188524]
0,106,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.1,-0.01,-0.02,0.2,1.0,2.6420069556847583,1.113369911213172,-1.0,0,0,66,28,818.5892157712407,[31.3225467]
0,107,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.5071327930071987,1.9650404716014638,1.617967679455237,-1.0,0,0,49,40,0.16433386567564182,[56.15683268]
0,108,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.3126660691509964,1.553125491412493,1.3917633737626254,-1.0,0,0,39,35,0.03815979010185811,[48.54760563]
0,109,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,2.0044296607083174,2.9127402052099836,-0.2943822334502349,0,0,50,73,12.095542659221863,[74.00131939]
0,110,7,xc1 dx a1 a2 d1 d2 Ir,25,1.6601078399594122,0.20039116871406365,-0.01,-0.02,0.22047977288962503,0.9380347165911114,1.9641225444304007,1.5472483879042198,-0.8714917292717602,0,0,49,39,8.280631446829181e-11,[55.99749583]
0,111,7,xc1 dx a1 a2 d1 d2 Ir,25,1.6196383501150637,0.3154305367094825,-0.01,-0.02,0.5826229275924428,0.7855895842000064,1.7951743068839812,2.234329354936913,-0.7125775653934558,0,0,45,56,0.00013998942602616468,[43.9594547]
0,112,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.4061525318950663,2.8045251879237294,2.5036269823246524,-1.0,0,0,70,63,0.9766107266930995,[75.68888658]
0,113,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.7571238104545184,2.0998726986028324,1.4773532664249482,-1.0,0,0,52,37,0.34440637154486803,[59.62301945]
