run,dim,vars,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
11,5,xc1 dx a1 d2 Ir,-2.6648052278807173,0.1,-0.01,-0.02,0.3118995227069679,0.2,2.0,2.0,-1.0,0,0,8,8,0.05783985366503626,[9.81323633]
12,5,xc1 dx a1 ex1 ex2,1.759658389607075,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,3.4414685234576094e-06,[56.01688979]
13,5,xc1 dx a1 ex1 Ir,1.7599190809262109,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,0,1,1,3.4409292517227053e-06,[56.02447657]
14,5,xc1 dx a1 ex2 Ir,-0.8038684247767229,0.5959828053232025,-0.01,-0.02,0.3805961974042066,0.2,2.0,2.0,-0.8642173737084089,0,-0.5252717337825342,8,8,4.596255082856717e-12,[56.00008593]
15,5,xc1 dx a2 d1 d2,2.0,0.1,-0.01,-0.02,0.2,0.26182209401458806,2.0,2.0,-1.0,0,0,8,8,0.02139203505469784,[19.36999007]
16,5,xc1 dx a2 d1 ex1,2.0,0.1,-0.01,-0.02,0.2,0.21327499348726603,2.0,2.0,-1.0,0.9,0,1,1,2.3488335610168003e-07,[36.0007407]
17,5,xc1 dx a2 d1 ex2,2.0,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0,-0.03510418517380734,8,8,0.00016586202837959985,[55.617543]
18,5,xc1 dx a2 d1 Ir,1.7779498181438058,0.1,-0.01,-0.02,0.2,0.3887649451818349,2.0,2.0,-0.8674760232010255,0,0,8,8,6.9168966530379386e-12,[56.00012582]
19,5,xc1 dx a2 d2 ex1,2.0,0.1,-0.01,-0.02,0.2,0.21327499348726603,2.0,2.0,-1.0,0.9,0,1,1,2.3488335610168003e-07,[36.0007407]
20,5,xc1 dx a2 d2 ex2,2.0,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0,-0.03510418517380734,8,8,0.00016586202837959985,[55.617543]
21,5,xc1 dx a2 d2 Ir,1.7779498181438058,0.1,-0.01,-0.02,0.2,0.3887649451818349,2.0,2.0,-0.8674760232010255,0,0,8,8,6.9168966530379386e-12,[56.00012582]
22,5,xc1 dx a2 ex1 ex2,2.0,0.10001277354069102,-0.01,-0.02,0.2,0.20610989309875932,2.0,2.0,-1.0,0.9,-0.9,1,1,5.867692055319136e-07,[55.99242266]
23,5,xc1 dx a2 ex1 Ir,1.4752480249496305,0.1,-0.01,-0.02,0.2,0.514584206391402,2.0,2.0,-0.1717300445586202,0.9,0,1,1,9.895025338378829e-08,[56.00173737]
